device,num_adversaries,f1,aggregation,injected
pi4-4gb,1,24.945295404814,coordinate_wise_median,pi4-4gb
All,1,37.025719378660554,coordinate_wise_median,pi4-4gb
pi3-1gb,2,65.7718120805369,coordinate_wise_median,pi4-4gb
pi4-2gb-bc,2,27.58620689655173,coordinate_wise_median,pi4-4gb
pi4-2gb-wc,2,28.141783029001072,coordinate_wise_median,pi4-4gb
pi4-4gb,2,24.36882546652031,coordinate_wise_median,pi4-4gb
All,2,38.46542150429077,coordinate_wise_median,pi4-4gb
pi3-1gb,3,57.14285714285715,coordinate_wise_median,pi4-4gb
pi4-2gb-bc,3,0.0,coordinate_wise_median,pi4-4gb
pi4-2gb-wc,3,0.0,coordinate_wise_median,pi4-4gb
pi4-4gb,3,0.0,coordinate_wise_median,pi4-4gb
All,3,18.181818181818183,coordinate_wise_median,pi4-4gb
pi3-1gb,4,50.14031805425632,coordinate_wise_median,pi4-4gb
pi4-2gb-bc,4,0.0,coordinate_wise_median,pi4-4gb
pi4-2gb-wc,4,0.0,coordinate_wise_median,pi4-4gb
pi4-4gb,4,0.0,coordinate_wise_median,pi4-4gb
All,4,15.451138656673393,coordinate_wise_median,pi4-4gb
