device,num_adversaries,f1,tp,fp,tn,fn,aggregation,injected
pi4-2gb-bc,2,1.7283950617283952,7,3,197,793,coordinate_wise_median,pi4-4gb
pi4-2gb-wc,2,3.198031980319803,13,0,200,787,coordinate_wise_median,pi4-4gb
pi4-4gb,2,1.73053152039555,7,2,198,793,coordinate_wise_median,pi4-4gb
All,2,19.780837313852206,352,7,793,2848,coordinate_wise_median,pi4-4gb
pi3-1gb,3,48.39319470699433,256,2,198,544,coordinate_wise_median,pi4-4gb
pi4-2gb-bc,3,1.7283950617283952,7,3,197,793,coordinate_wise_median,pi4-4gb
pi4-2gb-wc,3,3.431372549019608,14,2,198,786,coordinate_wise_median,pi4-4gb
pi4-4gb,3,1.9704433497536946,8,4,196,792,coordinate_wise_median,pi4-4gb
All,3,16.304347826086957,285,11,789,2915,coordinate_wise_median,pi4-4gb
pi3-1gb,4,31.5126050420168,150,2,198,650,coordinate_wise_median,pi4-4gb
pi4-2gb-bc,4,0.9950248756218907,4,0,200,796,coordinate_wise_median,pi4-4gb
pi4-2gb-wc,4,3.431372549019608,14,2,198,786,coordinate_wise_median,pi4-4gb
pi4-4gb,4,3.4355828220858897,14,1,199,786,coordinate_wise_median,pi4-4gb
All,4,10.746973723058757,182,5,795,3018,coordinate_wise_median,pi4-4gb
