device,num_adversaries,f1,aggregation,injected
pi4-2gb-bc,1,69.98916576381366,fed_avg,pi4-4gb
pi4-2gb-wc,1,68.42105263157895,fed_avg,pi4-4gb
pi4-4gb,1,65.01687289088865,fed_avg,pi4-4gb
All,1,65.09274873524453,fed_avg,pi4-4gb
pi3-1gb,2,54.89721886336155,fed_avg,pi4-4gb
pi4-2gb-bc,2,64.25339366515837,fed_avg,pi4-4gb
pi4-2gb-wc,2,63.63636363636363,fed_avg,pi4-4gb
pi4-4gb,2,64.40677966101694,fed_avg,pi4-4gb
All,2,61.9102416570771,fed_avg,pi4-4gb
pi3-1gb,3,33.56449375866852,fed_avg,pi4-4gb
pi4-2gb-bc,3,53.56321839080459,fed_avg,pi4-4gb
pi4-2gb-wc,3,52.72938443670151,fed_avg,pi4-4gb
pi4-4gb,3,52.085682074408126,fed_avg,pi4-4gb
All,3,48.637316561844855,fed_avg,pi4-4gb
pi3-1gb,4,47.71573604060914,fed_avg,pi4-4gb
pi4-2gb-bc,4,65.08620689655173,fed_avg,pi4-4gb
pi4-2gb-wc,4,64.71226927252985,fed_avg,pi4-4gb
pi4-4gb,4,62.899786780383806,fed_avg,pi4-4gb
All,4,60.58741258741258,fed_avg,pi4-4gb
pi3-1gb,0,83.94584139264991,trimmed_mean,pi4-4gb
pi4-2gb-bc,0,86.25592417061611,trimmed_mean,pi4-4gb
pi4-2gb-wc,0,86.36363636363636,trimmed_mean,pi4-4gb
pi4-4gb,0,88.57938718662953,trimmed_mean,pi4-4gb
All,0,86.30980577925153,trimmed_mean,pi4-4gb
pi3-1gb,1,67.10963455149502,trimmed_mean,pi4-4gb
pi4-2gb-bc,1,77.92472024415056,trimmed_mean,pi4-4gb
pi4-2gb-wc,1,76.92307692307693,trimmed_mean,pi4-4gb
pi4-4gb,1,80.0,trimmed_mean,pi4-4gb
All,1,75.67987567987568,trimmed_mean,pi4-4gb
pi3-1gb,2,54.89721886336155,trimmed_mean,pi4-4gb
pi4-2gb-bc,2,58.82352941176471,trimmed_mean,pi4-4gb
pi4-2gb-wc,2,52.94117647058824,trimmed_mean,pi4-4gb
pi4-4gb,2,58.82352941176471,trimmed_mean,pi4-4gb
All,2,56.416392461860596,trimmed_mean,pi4-4gb
pi3-1gb,3,35.841313269493845,trimmed_mean,pi4-4gb
pi4-2gb-bc,3,65.31986531986533,trimmed_mean,pi4-4gb
pi4-2gb-wc,3,60.556844547563806,trimmed_mean,pi4-4gb
pi4-4gb,3,64.21404682274247,trimmed_mean,pi4-4gb
All,3,57.43862762496303,trimmed_mean,pi4-4gb
pi3-1gb,4,56.45933014354066,trimmed_mean,pi4-4gb
pi4-2gb-bc,4,44.961240310077514,trimmed_mean,pi4-4gb
pi4-2gb-wc,4,42.10526315789474,trimmed_mean,pi4-4gb
pi4-4gb,4,45.83866837387964,trimmed_mean,pi4-4gb
All,4,47.54046334496985,trimmed_mean,pi4-4gb
pi3-1gb,0,69.13849509269356,trimmed_mean_2,pi4-4gb
pi4-2gb-bc,0,73.81703470031546,trimmed_mean_2,pi4-4gb
pi4-2gb-wc,0,73.81703470031546,trimmed_mean_2,pi4-4gb
pi4-4gb,0,74.21383647798743,trimmed_mean_2,pi4-4gb
All,0,72.78028094354624,trimmed_mean_2,pi4-4gb
pi3-1gb,1,66.07142857142857,trimmed_mean_2,pi4-4gb
pi4-2gb-bc,1,70.82884822389667,trimmed_mean_2,pi4-4gb
pi4-2gb-wc,1,71.24463519313305,trimmed_mean_2,pi4-4gb
pi4-4gb,1,70.96774193548387,trimmed_mean_2,pi4-4gb
All,1,69.81285598047194,trimmed_mean_2,pi4-4gb
pi3-1gb,2,41.479524438573314,trimmed_mean_2,pi4-4gb
pi4-2gb-bc,2,58.657243816254415,trimmed_mean_2,pi4-4gb
pi4-2gb-wc,2,64.63963963963964,trimmed_mean_2,pi4-4gb
pi4-4gb,2,62.54295532646048,trimmed_mean_2,pi4-4gb
All,2,57.38045738045737,trimmed_mean_2,pi4-4gb
pi3-1gb,3,20.35928143712575,trimmed_mean_2,pi4-4gb
pi4-2gb-bc,3,55.38461538461539,trimmed_mean_2,pi4-4gb
pi4-2gb-wc,3,55.81874356333677,trimmed_mean_2,pi4-4gb
pi4-4gb,3,52.50800426894343,trimmed_mean_2,pi4-4gb
All,3,48.155449169248094,trimmed_mean_2,pi4-4gb
pi3-1gb,4,27.089337175792505,trimmed_mean_2,pi4-4gb
pi4-2gb-bc,4,60.36585365853659,trimmed_mean_2,pi4-4gb
pi4-2gb-wc,4,60.54490413723512,trimmed_mean_2,pi4-4gb
pi4-4gb,4,59.17159763313609,trimmed_mean_2,pi4-4gb
All,4,53.81482487102905,trimmed_mean_2,pi4-4gb
pi3-1gb,0,14.528593508500773,coordinate_wise_median,pi4-4gb
pi4-2gb-bc,0,81.42292490118578,coordinate_wise_median,pi4-4gb
pi4-2gb-wc,0,81.65680473372781,coordinate_wise_median,pi4-4gb
pi4-4gb,0,77.55102040816327,coordinate_wise_median,pi4-4gb
All,0,68.60114973993979,coordinate_wise_median,pi4-4gb
pi3-1gb,1,12.206572769953054,coordinate_wise_median,pi4-4gb
pi4-2gb-bc,1,70.12987012987013,coordinate_wise_median,pi4-4gb
pi4-2gb-wc,1,70.27027027027027,coordinate_wise_median,pi4-4gb
pi4-4gb,1,68.56516976998904,coordinate_wise_median,pi4-4gb
All,1,58.86503969420759,coordinate_wise_median,pi4-4gb
pi3-1gb,2,0.0,coordinate_wise_median,pi4-4gb
pi4-2gb-bc,2,79.75951903807615,coordinate_wise_median,pi4-4gb
pi4-2gb-wc,2,79.27565392354123,coordinate_wise_median,pi4-4gb
pi4-4gb,2,79.27565392354123,coordinate_wise_median,pi4-4gb
All,2,66.14612381483546,coordinate_wise_median,pi4-4gb
